,Defunciones
4184,-0.3043575154494825
1239,-0.3043575154494825
3875,-0.3043575154494825
3008,-0.2875295945516659
4865,-0.3043575154494825
1942,-0.3043575154494825
1783,-0.3043575154494825
1474,-0.2931389015176048
1867,-0.3043575154494825
1029,0.0153729816090323
390,6.757759954667538
1245,-0.2931389015176048
787,-0.2482644457900939
4817,0.1668242696893814
4893,-0.2538737527560328
2863,-0.2987482084835436
2543,-0.2370458318582162
4886,-0.2763109806197882
638,-0.3043575154494825
2816,-0.3043575154494825
185,-0.2931389015176048
2537,-0.3043575154494825
4857,-0.0631573159141117
2140,-0.2650923666879105
680,-0.2538737527560328
2009,-0.3043575154494825
3065,-0.3043575154494825
3690,-0.0295014741184785
5526,-0.3043575154494825
2784,-0.0295014741184785
2228,-0.2987482084835436
485,-0.3043575154494825
4345,-0.281920287585727
4035,-0.3043575154494825
3896,-0.3043575154494825
1814,-0.3043575154494825
4649,-0.3043575154494825
2819,-0.3043575154494825
2152,7.402830255750507
1654,-0.3043575154494825
2580,-0.2987482084835436
1220,-0.281920287585727
904,-0.2987482084835436
3434,-0.3043575154494825
462,-0.3043575154494825
2259,0.3238848647356694
3424,-0.2931389015176048
1371,-0.2931389015176048
4815,0.2734011020422197
2962,-0.2931389015176048
53,-0.281920287585727
1266,-0.2650923666879105
2453,-0.2707016736538494
2204,-0.3043575154494825
2629,-0.2763109806197882
5373,-0.3043575154494825
1420,-0.1529062273691334
1830,-0.3043575154494825
1982,-0.3043575154494825
4198,-0.3043575154494825
4712,-0.2987482084835436
4973,-0.3043575154494825
4521,-0.2931389015176048
553,-0.2987482084835436
4375,-0.2931389015176048
4633,-0.2875295945516659
1940,-0.3043575154494825
3295,-0.2033899900625831
1464,-0.1921713761307054
3831,-0.3043575154494825
2624,-0.2987482084835436
1369,-0.281920287585727
3964,-0.3043575154494825
2165,-0.2707016736538494
3659,-0.3043575154494825
4798,-0.2987482084835436
286,-0.3043575154494825
465,-0.2875295945516659
3496,0.1499963487915648
37,-0.2314365248922774
3777,-0.3043575154494825
5078,0.654833975726062
2804,-0.1697341482669499
4964,0.065856744302482
5341,-0.2594830597219716
1202,-0.2202179109603996
