,grandes grupos CIE-10,mes,tramo edad cumplida,sexo,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,rango1,rango2,rango3,Defunciones
72,1,4,4,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,-0.2726579853007841,-0.2786602615880048,-0.3035288569825632,-0.28752959455166593
73,1,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2887775893584492,-0.293787579707229,-0.32259030829271296,-0.30435751544948253
74,1,4,5,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,-0.25653838124311895,-0.2786602615880048,-0.3035288569825632,-0.28192028758572707
75,1,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2887775893584492,-0.293787579707229,-0.32259030829271296,-0.30435751544948253
76,1,4,6,0,1,2,1,1,0,2,0,0,0,1,0,0,2,0,-0.2081795690701236,-0.2484056253495562,-0.28446740567241346,-0.24826444579009396
77,1,4,6,1,1,0,2,0,0,0,1,1,1,0,0,0,0,0,-0.24041877718545385,-0.2484056253495562,-0.32259030829271296,-0.2707016736538494
78,1,4,7,0,0,2,2,1,3,2,6,0,5,0,0,1,0,1,-0.15982075689712824,-0.09713244415731344,-0.28446740567241346,-0.17534345523288883
79,1,4,7,1,1,1,1,0,1,0,0,0,1,0,1,1,2,0,-0.22429917312778871,-0.2786602615880048,-0.24634450305211394,-0.2538737527560328
80,1,4,8,0,0,3,1,2,2,1,1,2,2,0,0,0,2,2,-0.15982075689712824,-0.20302367099188337,-0.24634450305211394,-0.2033899900625831
81,1,4,8,1,1,2,2,1,2,2,0,1,1,0,1,0,0,2,-0.15982075689712824,-0.23327830723033194,-0.26540595436226366,-0.22021791096039967
82,1,4,9,0,4,1,3,3,2,1,2,1,2,1,2,3,5,1,-0.07922273660880262,-0.1878963528726591,-0.11291434388106568,-0.13046899950537796
83,1,4,9,1,2,1,1,1,2,1,0,0,0,2,1,1,1,2,-0.17594036095479335,-0.2484056253495562,-0.22728305174196417,-0.22021791096039967
84,1,4,10,0,3,5,1,3,4,7,6,5,6,3,3,3,3,5,-0.030863924435807256,0.11465000951182645,-0.05572998995061642,0.0153729816090323
85,1,4,10,1,4,2,5,4,7,3,5,5,3,9,3,3,4,6,0.06585369991018347,0.0843953732733779,-0.017607087330316913,0.04902882340466544
86,1,4,11,0,0,0,3,0,1,1,4,6,1,3,3,2,2,3,-0.22429917312778871,-0.06687780791886488,-0.1319757951912154,-0.1416876134372557
87,1,4,11,1,1,3,8,3,3,5,4,8,5,7,8,3,9,12,0.00137528367952299,0.144904645750275,0.2873761336320791,0.13877773485968714
88,1,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.2726579853007841,-0.293787579707229,-0.32259030829271296,-0.29874820848354366
89,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2887775893584492,-0.293787579707229,-0.32259030829271296,-0.30435751544948253
